CxcSubjectCode,Name,Level
01254090,Additional Mathematics,CSEC
01210090,Caribbean History,CSEC
01216090,Economics,CSEC
01251090,Electronic Document Preparation and Management,CSEC
01218090,English A,CSEC
01219090,English B,CSEC
01225090,Geography,CSEC
01253090,Human and Social Biology,CSEC
01229090,Information Technology,CSEC
01234090,Mathematics,CSEC
01237090,Office Administration,CSEC
01252090,Physical Education and Sport,CSEC
01239090,Principles of Accounts,CSEC
01240090,Principles of Business,CSEC
01241090,Religious Education,CSEC
01243090,Social Studies,CSEC
01248090,Theatre Arts,CSEC
02101090,Accounting Unit 1,CAPE
02201090,Accounting Unit 2,CAPE
02102090,Agricultural Science Unit 1,CAPE
02202090,Agricultural Science Unit 2,CAPE
02142090,Animation and Game Design Unit 1,CAPE
02242090,Animation and Game Design Unit 2,CAPE
02105090,Applied Mathematics Unit 1,CAPE
02205090,Applied Mathematics Unit 2,CAPE
02111090,Caribbean Studies Unit 1,CAPE
02114090,Communication Studies Unit 1,CAPE
02115090,Computer Science Unit 1,CAPE
02215090,Computer Science Unit 2,CAPE
02159090,Digital Media Unit 1,CAPE
02259090,Digital Media Unit 2,CAPE
02116090,Economics Unit 1,CAPE
02216090,Economics Unit 2,CAPE
02160090,Entrepreneurship Unit 1,CAPE
02260090,Entrepreneurship Unit 2,CAPE
02120090,Environmental Science Unit 1,CAPE
02220090,Environmental Science Unit 2,CAPE
02172090,Financial Services Unit 1,CAPE
02272090,Financial Services Unit 2,CAPE
02121090,Food and Nutrition Unit 1,CAPE
02221090,Food and Nutrition Unit 2,CAPE
02122090,French Unit 1,CAPE
02222090,French Unit 2,CAPE
02125090,Geography Unit 1,CAPE
02225090,Geography Unit 2,CAPE
02165090,Green Engineering Unit 1,CAPE
02265090,Green Engineering Unit 2,CAPE
02127090,History Unit 1,CAPE
02227090,History Unit 2,CAPE
02129090,Information Technology Unit 1,CAPE
02229090,Information Technology Unit 2,CAPE
02167090,Integrated Mathematics,CAPE
02131090,Law Unit 1,CAPE
02231090,Law Unit 2,CAPE
02132090,Literatures In English Unit 1,CAPE
02232090,Literatures In English Unit 2,CAPE
02166090,Logistics and Supply Chain Operations Unit 1,CAPE
02266090,Logistics and Supply Chain Operations Unit 2,CAPE
02133090,Management of Business Unit 1,CAPE
02233090,Management of Business Unit 2,CAPE
02134090,Pure Mathematics Unit 1,CAPE
02234090,Pure Mathematics Unit 2,CAPE
02144090,Sociology Unit 1,CAPE
02244090,Sociology Unit 2,CAPE
02145090,Spanish Unit 1,CAPE
02245090,Spanish Unit 2,CAPE
02163090,Tourism Unit 1,CAPE
02263090,Tourism Unit 2,CAPE
